alpha,run_idx,algorithm,nue,sq_error,rel_sq_error,rmse,elapsed_sec
0.5,0,EaseSHAP_order2,500,1.1107640716323497,0.0024435953931149709,0.16664063667307785,32.0187
0.5,0,EaseSHAP_order2,1000,0.38325359025593531,0.00084312837573859937,0.097884318235345463,32.0187
0.5,0,EaseSHAP_order2,1500,0.24110982460607722,0.00053042304094003785,0.077638557528794477,32.0187
0.5,0,EaseSHAP_order2,2000,0.19579666862363398,0.00043073758834570169,0.069963681403931638,32.0187
0.5,0,EaseSHAP_order2,2500,0.12124637434260421,0.00026673268369229824,0.055055965694601208,32.0187
0.5,0,EaseSHAP_order2,3000,0.10697570536959859,0.00023533831125112028,0.05171453020418889,32.0187
0.5,0,EaseSHAP_order2,3500,0.082056068586341721,0.00018051702993961965,0.0452924023944253,32.0187
0.5,0,EaseSHAP_order2,4000,0.066420851437092268,0.00014612075662470103,0.040749494302718729,32.0187
0.5,0,EaseSHAP_order2,4500,0.046483547245520028,0.00010226022321542179,0.034089421836370308,32.0187
0.5,0,EaseSHAP_order2,5000,0.040107221234421404,8.8232797172714008e-05,0.031665131151797477,32.0187
0.5,0,PolySHAP_regression,500,2.4559399695980195,0.005402878746930709,0.24778720556144634,148.419
0.5,0,PolySHAP_regression,1000,1.2675868835478872,0.0027885934989404369,0.17801593212040653,148.419
0.5,0,PolySHAP_regression,1500,0.66597833185722921,0.0014651010283841476,0.12903277992987183,148.419
0.5,0,PolySHAP_regression,2000,0.47512414096750755,0.0010452365103236711,0.10898671260382016,148.419
0.5,0,PolySHAP_regression,2500,0.3647841467903607,0.00080249702285413763,0.095496616012081897,148.419
0.5,0,PolySHAP_regression,3000,0.29530348488990299,0.00064964491891362282,0.085921982764875574,148.419
0.5,0,PolySHAP_regression,3500,0.2608862004503571,0.00057392954438192055,0.080759860148832158,148.419
0.5,0,PolySHAP_regression,4000,0.19023209887257372,0.00041849596354379831,0.068962326467531129,148.419
0.5,0,PolySHAP_regression,4500,0.16907652559232567,0.00037195533198524446,0.065014714794484341,148.419
0.5,0,PolySHAP_regression,5000,0.17209457207237921,0.00037859480175493892,0.065592410397922407,148.419
0.5,1,EaseSHAP_order2,500,1.0655109017958002,0.002344041905420743,0.16321082238900397,32.5686
0.5,1,EaseSHAP_order2,1000,0.25958121477738388,0.00057105867642715132,0.080557621423640577,32.5686
0.5,1,EaseSHAP_order2,1500,0.15233573685057145,0.00033512688633130402,0.061712182113941541,32.5686
0.5,1,EaseSHAP_order2,2000,0.080174094733397316,0.00017637683243551826,0.04476999406226153,32.5686
0.5,1,EaseSHAP_order2,2500,0.057513231654858742,0.00012652467927634211,0.037918739316747711,32.5686
0.5,1,EaseSHAP_order2,3000,0.056614144158556229,0.0001245467560430641,0.037621185573608731,32.5686
0.5,1,EaseSHAP_order2,3500,0.054121113952654537,0.00011906228163340368,0.036783526867558029,32.5686
0.5,1,EaseSHAP_order2,4000,0.034791477293973173,7.6538569986585225e-05,0.029492150351395699,32.5686
0.5,1,EaseSHAP_order2,4500,0.029056809484903339,6.3922742560069412e-05,0.026952184273683333,32.5686
0.5,1,EaseSHAP_order2,5000,0.025347012583005007,5.5761475149296113e-05,0.025172908345583059,32.5686
0.5,1,PolySHAP_regression,500,2.3589208767500369,0.0051894442162484875,0.24284361617870645,170.099
0.5,1,PolySHAP_regression,1000,0.76843318155451856,0.0016904938054071415,0.13860313682908829,170.099
0.5,1,PolySHAP_regression,1500,0.41906112288325137,0.00092190218918967461,0.10235491230068679,170.099
0.5,1,PolySHAP_regression,2000,0.41292992075713353,0.00090841401681151981,0.10160338586350526,170.099
0.5,1,PolySHAP_regression,2500,0.35010040211556703,0.00077019391568910989,0.09355485050433876,170.099
0.5,1,PolySHAP_regression,3000,0.3185558112721214,0.00070079824577924112,0.089240659353251275,170.099
0.5,1,PolySHAP_regression,3500,0.2795317123532669,0.00061494823426560033,0.083596009526960516,170.099
0.5,1,PolySHAP_regression,4000,0.2355376880121299,0.00051816476966667262,0.076736185729440881,170.099
0.5,1,PolySHAP_regression,4500,0.19939187606850928,0.00043864676777808953,0.0706030941369621,170.099
0.5,1,PolySHAP_regression,5000,0.18660853606983041,0.00041052440450837331,0.068302367468088265,170.099
0.5,2,EaseSHAP_order2,500,0.87603328261497748,0.0019272057390796505,0.14798929713115891,32.4196
0.5,2,EaseSHAP_order2,1000,0.35557852060537637,0.00078224535437578251,0.094283948873254184,32.4196
0.5,2,EaseSHAP_order2,1500,0.24771555073215315,0.00054495512956452574,0.078694909417978409,32.4196
0.5,2,EaseSHAP_order2,2000,0.1685510637117088,0.00037079935632531338,0.064913608687183003,32.4196
0.5,2,EaseSHAP_order2,2500,0.12519670030912131,0.00027542309651677668,0.055945665674188141,32.4196
0.5,2,EaseSHAP_order2,3000,0.11488001776329355,0.00025272718963155786,0.053591048171148313,32.4196
0.5,2,EaseSHAP_order2,3500,0.093185030576066197,0.00020499988902982931,0.048266196912556264,32.4196
0.5,2,EaseSHAP_order2,4000,0.079069280142647233,0.00017394632544204331,0.044460454378764294,32.4196
0.5,2,EaseSHAP_order2,4500,0.066115718844149837,0.00014544948842522856,0.040655786440600868,32.4196
