method,method_label,seed_index,estimator_seed,checkpoint,utility_evaluations,sum_estimated_values,efficiency_error,rmse_to_own_final_mean,mae_to_own_final_mean,pearson_to_own_final_mean,spearman_to_own_final_mean,top5_overlap_own_final_mean,top10_overlap_own_final_mean,top15_overlap_own_final_mean,rmse_to_reference,mae_to_reference,pearson_to_reference,spearman_to_reference,top5_overlap_reference,top10_overlap_reference,top15_overlap_reference
kernelSHAP,kernelSHAP,0,2026,1,500,0.089532326326574,7.355227538141662e-16,0.0075268140524468365,0.006075084259050234,0.28717347228442003,0.23860744297719086,1,4,5,0.007486302557738774,0.006034178192333405,0.345177380133556,0.2684753901560624,2,4,6
kernelSHAP,kernelSHAP,0,2026,2,1000,0.08953232632657353,2.636779683484747e-16,0.004902333210478001,0.003937430426854632,0.09506759403564602,0.17138055222088835,0,3,6,0.004847022269217081,0.00391374641102506,0.15148081411720646,0.22141656662665066,0,2,6
kernelSHAP,kernelSHAP,0,2026,3,1500,0.08953232632657387,6.106226635438361e-16,0.0043319093776200725,0.003273492486320409,0.2701007641373852,0.2838415366146458,1,6,7,0.004285215877412389,0.0032366506497699464,0.326765600253017,0.35327731092436976,2,5,7
kernelSHAP,kernelSHAP,0,2026,4,2000,0.08953232632657356,2.914335439641036e-16,0.003188845008635422,0.0024445037586837137,0.20930973098763825,0.14852340936374547,2,4,7,0.003161197032963831,0.00243263998346671,0.23512636622860253,0.18761104441776708,2,3,8
kernelSHAP,kernelSHAP,0,2026,5,2500,0.08953232632657297,2.914335439641036e-16,0.002862997814542244,0.0022719877020405247,0.24088750991740185,0.16206482593037216,3,4,6,0.002808772723262241,0.0022318595078019317,0.2959199406247476,0.2252581032412965,2,3,7
kernelSHAP,kernelSHAP,0,2026,6,3000,0.08953232632657224,1.0269562977782698e-15,0.002547091338789717,0.0020442747423410636,0.3342519947752493,0.28547418967587035,2,5,6,0.0025012162769769207,0.0020113382746021406,0.38345083466733065,0.3160144057623049,2,4,7
kernelSHAP,kernelSHAP,0,2026,7,3500,0.08953232632657318,8.326672684688674e-17,0.002628892649306897,0.002059769315072528,0.2816160224968383,0.2471548619447779,2,4,5,0.002563494286613551,0.0020423617780083616,0.3492301628394099,0.287875150060024,2,4,6
kernelSHAP,kernelSHAP,0,2026,8,4000,0.08953232632657324,2.7755575615628914e-17,0.002459888646038805,0.0018967207057251079,0.3126024540339591,0.2669387755102041,2,3,5,0.002380665889428346,0.001830516917714718,0.3949622454151944,0.33781512605042013,2,3,6
kernelSHAP,kernelSHAP,0,2026,9,4500,0.08953232632657279,4.718447854656915e-16,0.0023565212992734163,0.0017806659612544485,0.35443799738786136,0.33310924369747896,2,3,6,0.00230979207064285,0.0017591013824422683,0.4038116040564388,0.3635534213685474,2,3,7
kernelSHAP,kernelSHAP,0,2026,10,5000,0.08953232632657339,1.249000902703301e-16,0.002259543135188776,0.0017285319186258368,0.44300894826102893,0.4042737094837935,2,3,7,0.0022342423104543007,0.0017117642450926918,0.4752978666231914,0.4343337334933973,2,3,9
